"Title","Type","Description"
"Kraina lodu 2","Fantasy","Spokojna i szczęśliwa już Elsa zaczyna słyszeć tajemniczy głos z Zaklętej Puszczy, który zagraża bezpieczeństwu królestwa. By zrozumieć jego znaczenie oraz uratować Arendale decyduje się na niebezpieczną wyprawę."
"Ralph Demolka w internecie","Fantasy","Ralph i Wandelopa, w poszukiwaniu części zamiennej do automatu z grą dziewczynki, postanawiają udać się w jedyne miejsce, gdzie można ją zakupić: na aukcje internetową."
"Saga ""Zmierzch"": Księżyc w nowiu","Fantasy","Gdy Bella odzyskuje zdrowie po wampirzym ataku, z którego ledwo uszła z życiem, zbliżają się jej osiemnaste urodziny. Nie może doczekać się by świętować je z Edwardem i rodziną Cullenów. Jednak wypadek podczas przyjęcia zupełnie zmienia obrót wydarzeń. Cullenowie dla dobra Belli postanawiają opuścić Forks. Załamana Bella znajduje ukojenie w lekkomyślnych rozrywkach. Ciężki okres pomaga jej przetrwać także przyjaciel z dzieciństwa - Jacob Black. Najgorsze jednak dopiero przed nią - do Forks przybywa właśnie Alice ze strasznymi wizjami przyszłości. Jak rozegra się finał we włoskiej Volterze, mieście Volturi? Czy miłość Belli i Edwarda przetrwa?"
"Gra o tron","Fantasy","Kilka arystokratycznych rodzin walczy o kontrolę nad krainą o nazwie Westeros."
"Czarownica 2","Fantasy","W filmie ""Czarownica 2"" rodzinne powiązania komplikują życie Diaboliny i Aurory oraz wystawiają ich wzajemne relacje na ciężką próbę. Nadchodzi wesele, pojawiają się niespodziewani sojusznicy oraz nowe, mroczne siły. Wszystko to oddala je od siebie i spowoduje, że staną po przeciwnych stronach."
"Stargirl","Fantasy","Główną bohaterką jest uczennica liceum, która zmuszona zostaje do przeprowadzki z Los Angeles do Blue Valley. Tam odkrywa, że jej ojczym był kiedyś pomocnikiem superbohatera. Sama zyskując dający moc kostium inspiruje młodych herosów do walki ze złoczyńcami z przeszłości. Jest członkinią pierwszej drużyny superbohaterów o nazwie Justice Society of America."
"Curon","Fantasy","Po 17 latach kobieta wraca do domu z nastoletnimi bliźniętami. Gdy znika, jej dzieci muszą zmierzyć się z mroczną przeszłością swojej rodziny."
"Wyspa Fantazji","Fantasy","Głównym bohaterem jest enigmatyczny Mr. Roarke, który prowadzi luksusowy kurort na jednej z rajskich wysp. Jego goście, oczywiście za odpowiednią opłatą, mogą spełniać w nim swoje najśmielsze fantazje. Jednak wydumane marzenia zamieniają się w koszmary, a goście muszą rozwiązać tajemnicę wyspy, aby ujść z życiem."
"Ragnarok","Fantasy","Ciepłe zimy i potężne ulewy sprawiają, że norweskie miasteczko zaczyna szykować się na Ragnarok — czy ktoś zdoła ich przed tym uratować?"
"Wiedźmin","Fantasy","Wiedźmin Geralt, zmutowany łowca potworów, szuka swojego miejsca w świecie, gdzie ludzie często okazują się gorsi niż najstraszniejsze monstra."
